ship	leg	departure	arrival	startx	starty	destinationx	destinationy
2	1	1714	1714	950	-100	954	587
3	1	1714	1714	950	-150	954	587
4	1	1715	1715	950	-100	954	587
5	1	1716	1716	950	-100	954	587
6	1	1716	1716	950	-150	954	587
7	1	1716	1716	950	-200	954	587
8	1	1717	1717	950	-100	954	587
9	1	1717	1717	950	-150	954	587
10	1	1717	1717	950	-200	954	587
11	1	1717	1717	950	-250	954	587
12	1	1718	1718	950	-100	954	587
13	1	1719	1719	950	-150	954	587
14	1	1719	1719	950	-200	954	587
15	1	1719	1719	950	-250	954	587
16	1	1719	1719	950	-300	954	587
17	1	1720	1720	950	-100	954	587
18	1	1720	1720	950	-150	954	587
19	1	1721	1721	950	-100	954	587
20	1	1721	1721	950	-150	954	587
21	1	1722	1722	950	-100	954	587
22	1	1723	1723	950	-100	954	587
23	1	1723	1723	950	-150	954	587
24	1	1723	1723	950	-200	954	587
25	1	1725	1725	950	-100	954	587
26	1	1725	1725	950	-150	954	587
27	1	1726	1726	950	-100	954	587
28	1	1726	1726	950	-150	954	587
29	1	1726	1726	950	-200	954	587
30	1	1726	1726	950	-250	954	587
31	1	1727	1727	950	-100	954	587
32	1	1727	1727	950	-150	954	587
33	1	1727	1727	950	-200	954	587
34	1	1727	1727	950	-250	954	587
35	1	1728	1728	950	-100	954	587
36	1	1728	1728	950	-150	954	587
37	1	1728	1728	950	-200	954	587
38	1	1729	1729	950	-100	954	587
39	1	1729	1729	950	-150	954	587
40	1	1730	1730	950	-100	954	587
41	1	1730	1730	950	-150	954	587
42	1	1730	1730	950	-200	954	587
43	1	1730	1730	950	-250	954	587
44	1	1731	1731	950	-100	954	587
45	1	1731	1731	950	-150	954	587
46	1	1732	1732	950	-100	954	587
47	1	1732	1732	950	-150	954	587
48	1	1732	1732	950	-200	954	587
49	1	1732	1732	950	-250	954	587
50	1	1732	1732	950	-300	954	587
51	1	1733	1733	950	-100	954	587
52	1	1733	1733	950	-150	954	587
53	1	1733	1733	950	-200	954	587
54	1	1734	1734	950	-100	954	587
55	1	1734	1734	950	-150	954	587
56	1	1734	1734	950	-200	954	587
57	1	1734	1734	950	-250	954	587
58	1	1734	1734	950	-300	954	587
59	1	1735	1735	950	-100	954	587
60	1	1735	1735	950	-150	954	587
61	1	1735	1735	950	-200	954	587
62	1	1735	1735	950	-250	954	587
63	1	1736	1736	950	-100	954	587
64	1	1736	1736	950	-150	954	587
65	1	1736	1736	950	-200	954	587
66	1	1736	1736	950	-250	954	587
67	1	1736	1736	950	-300	954	587
68	1	1736	1736	950	-350	954	587
69	1	1737	1737	950	-100	954	587
70	1	1737	1737	950	-150	954	587
71	1	1738	1738	950	-100	954	587
72	1	1739	1739	950	-100	954	587
73	1	1739	1739	950	-150	954	587
74	1	1740	1740	950	-100	954	587
75	1	1741	1741	950	-100	954	587
76	1	1741	1741	950	-150	954	587
77	1	1741	1741	950	-200	954	587
78	1	1741	1741	950	-250	954	587
79	1	1741	1741	950	-300	954	587
80	1	1741	1741	950	-350	954	587
81	1	1742	1742	950	-100	954	587
82	1	1742	1742	950	-150	954	587
83	1	1742	1742	950	-200	954	587
84	1	1742	1742	950	-250	954	587
85	1	1742	1742	950	-300	954	587
86	1	1742	1742	950	-350	954	587
87	1	1743	1743	950	-100	954	587
88	1	1743	1743	950	-150	954	587
89	1	1743	1743	950	-200	954	587
90	1	1743	1743	950	-250	954	587
91	1	1743	1743	950	-300	954	587
92	1	1743	1743	950	-350	954	587
93	1	1743	1743	950	-400	954	587
94	1	1743	1743	950	-450	954	587
95	1	1743	1743	950	-500	954	587
96	1	1743	1743	950	-550	954	587
97	1	1744	1744	950	-100	954	587
98	1	1744	1744	950	-150	954	587
99	1	1744	1744	950	-200	954	587
100	1	1744	1744	950	-250	954	587
101	1	1744	1744	950	-300	954	587
102	1	1744	1744	950	-350	954	587
103	1	1744	1744	950	-400	954	587
104	1	1744	1744	950	-450	954	587
105	1	1744	1744	950	-500	954	587
106	1	1744	1744	950	-550	954	587
107	1	1744	1744	950	-600	954	587
108	1	1744	1744	950	-650	954	587
109	1	1745	1745	950	-100	954	587
110	1	1745	1745	950	-150	954	587
111	1	1745	1745	950	-200	954	587
112	1	1745	1745	950	-250	954	587
113	1	1745	1745	950	-300	954	587
114	1	1745	1745	950	-350	954	587
115	1	1745	1745	950	-400	954	587
116	1	1745	1745	950	-450	954	587
117	1	1745	1745	950	-500	954	587
118	1	1745	1745	950	-550	954	587
119	1	1746	1746	950	-100	954	587
120	1	1746	1746	950	-150	954	587
121	1	1746	1746	950	-200	954	587
122	1	1746	1746	950	-250	954	587
123	1	1746	1746	950	-300	954	587
124	1	1746	1746	950	-350	954	587
125	1	1746	1746	950	-400	954	587
126	1	1746	1746	950	-450	954	587
127	1	1746	1746	950	-500	954	587
128	1	1746	1746	950	-550	954	587
129	1	1747	1747	950	-100	954	587
130	1	1747	1747	950	-150	954	587
131	1	1747	1747	950	-200	954	587
132	1	1747	1747	950	-250	954	587
133	1	1747	1747	950	-300	954	587
134	1	1747	1747	950	-350	954	587
135	1	1747	1747	950	-400	954	587
136	1	1747	1747	950	-450	954	587
137	1	1747	1747	950	-500	954	587
138	1	1747	1747	950	-550	954	587
139	1	1747	1747	950	-600	954	587
140	1	1747	1747	950	-650	954	587
141	1	1748	1748	950	-100	954	587
142	1	1748	1748	950	-150	954	587
143	1	1748	1748	950	-200	954	587
144	1	1748	1748	950	-250	954	587
145	1	1748	1748	950	-300	954	587
146	1	1748	1748	950	-350	954	587
147	1	1748	1748	950	-400	954	587
148	1	1748	1748	950	-450	954	587
149	1	1749	1749	950	-100	954	587
150	1	1749	1749	950	-150	954	587
151	1	1749	1749	950	-200	954	587
152	1	1749	1749	950	-250	954	587
153	1	1749	1749	950	-300	954	587
154	1	1749	1749	950	-350	954	587
155	1	1750	1750	950	-100	954	587
156	1	1750	1750	950	-150	954	587
157	1	1750	1750	950	-200	954	587
158	1	1750	1750	950	-250	954	587
159	1	1750	1750	950	-300	954	587
160	1	1750	1750	950	-350	954	587
161	1	1751	1751	950	-100	954	587
162	1	1751	1751	950	-150	954	587
163	1	1751	1751	950	-200	954	587
164	1	1751	1751	950	-250	954	587
165	1	1751	1751	950	-300	954	587
166	1	1751	1751	950	-350	954	587
167	1	1751	1751	950	-400	954	587
168	1	1751	1751	950	-450	954	587
169	1	1752	1752	950	-100	954	587
170	1	1752	1752	950	-150	954	587
171	1	1752	1752	950	-200	954	587
172	1	1752	1752	950	-250	954	587
